,Origen,Destino,Tipo,Distancia
0,Aparcamiento disuasorio Aviación Española,224 - Caramuel,Disuasorio,6779.868246080813
1,Aparcamiento disuasorio Aviación Española,224 - Caramuel,Publicos Municipales,6779.868246080813
2,Aparcamiento disuasorio Estadio Metropolitano Sur ES-02b,215 - Gutierre de Cetina,Disuasorio,4728.940914542815
3,Aparcamiento disuasorio Estadio Metropolitano Sur ES-02b,215 - Gutierre de Cetina,Publicos Municipales,4728.940914542815
4,Aparcamiento disuasorio Fuente de la Mora,249 - Manuel Caldeiro,Disuasorio,2389.581535310049
5,Aparcamiento disuasorio Fuente de la Mora,249 - Manuel Caldeiro,Publicos Municipales,2389.581535310049
6,Aparcamiento disuasorio Islazul,212 - Marqués de Vadillo,Disuasorio,4379.834910372644
7,Aparcamiento disuasorio Islazul,212 - Marqués de Vadillo,Publicos Municipales,4379.834910372644
8,Aparcamiento disuasorio Pitis,217 - Pedro Rico,Disuasorio,4564.711799116754
9,Aparcamiento disuasorio Pitis,217 - Pedro Rico,Publicos Municipales,4564.711799116754
10,Aparcamiento mixto. Arquitecto Ribera,54 - Barceló,Disuasorio,89.87142547884677
11,Aparcamiento mixto. Arquitecto Ribera,54 - Barceló,Publicos Municipales,89.87142547884677
12,Aparcamiento mixto. Arquitecto Ribera,54 - Barceló,Publicos Municipales,89.87142547884677
13,Aparcamiento mixto. Arquitecto Ribera,54 - Barceló,Residentes,89.87142547884677
14,Aparcamiento mixto. Avenida de América (intercambiador),195 - Avenida de América 1,Disuasorio,137.35374981376054
15,Aparcamiento mixto. Avenida de América (intercambiador),195 - Avenida de América 1,Publicos Municipales,137.35374981376054
16,Aparcamiento mixto. Avenida de América (intercambiador),195 - Avenida de América 1,Publicos Municipales,137.35374981376054
17,Aparcamiento mixto. Avenida de América (intercambiador),195 - Avenida de América 1,Residentes,137.35374981376054
18,Aparcamiento mixto. Avenida de Portugal,224 - Caramuel,Disuasorio,1061.925264588354
19,Aparcamiento mixto. Avenida de Portugal,224 - Caramuel,Publicos Municipales,1061.925264588354
20,Aparcamiento mixto. Avenida de Portugal,224 - Caramuel,Publicos Municipales,1061.925264588354
21,Aparcamiento mixto. Avenida de Portugal,224 - Caramuel,Residentes,1061.925264588354
22,Aparcamiento mixto. Brasil,238 - San Germán 5,Disuasorio,133.5315619816952
23,Aparcamiento mixto. Brasil,238 - San Germán 5,Publicos Municipales,133.5315619816952
24,Aparcamiento mixto. Brasil,238 - San Germán 5,Publicos Municipales,133.5315619816952
25,Aparcamiento mixto. Brasil,238 - San Germán 5,Residentes,133.5315619816952
26,Aparcamiento mixto. Casino de la Reina,48 - Embajadores 2,Disuasorio,293.2648402471429
27,Aparcamiento mixto. Casino de la Reina,48 - Embajadores 2,Publicos Municipales,293.2648402471429
28,Aparcamiento mixto. Casino de la Reina,48 - Embajadores 2,Publicos Municipales,293.2648402471429
29,Aparcamiento mixto. Casino de la Reina,48 - Embajadores 2,Residentes,293.2648402471429
30,Aparcamiento mixto. Condesa de Gavia,204 - Cuatro Caminos 2,Disuasorio,315.64108082868614
31,Aparcamiento mixto. Condesa de Gavia,204 - Cuatro Caminos 2,Publicos Municipales,315.64108082868614
32,Aparcamiento mixto. Condesa de Gavia,204 - Cuatro Caminos 2,Publicos Municipales,315.64108082868614
33,Aparcamiento mixto. Condesa de Gavia,204 - Cuatro Caminos 2,Residentes,315.64108082868614
34,Aparcamiento mixto. Corona Boreal,261 - Facultad Derecho,Disuasorio,6059.666372158253
35,Aparcamiento mixto. Corona Boreal,261 - Facultad Derecho,Publicos Municipales,6059.666372158253
36,Aparcamiento mixto. Corona Boreal,261 - Facultad Derecho,Residentes,6059.666372158253
37,Aparcamiento mixto. Daoíz y Velarde,79 - Puerta de Granada,Disuasorio,352.6807369908137
38,Aparcamiento mixto. Daoíz y Velarde,79 - Puerta de Granada,Publicos Municipales,352.6807369908137
39,Aparcamiento mixto. Daoíz y Velarde,79 - Puerta de Granada,Publicos Municipales,352.6807369908137
40,Aparcamiento mixto. Daoíz y Velarde,79 - Puerta de Granada,Residentes,352.6807369908137
41,Aparcamiento mixto. Díaz Porlier,191 - Diego de león,Disuasorio,194.3836362239682
42,Aparcamiento mixto. Díaz Porlier,191 - Diego de león,Publicos Municipales,194.3836362239682
43,Aparcamiento mixto. Díaz Porlier,191 - Diego de león,Publicos Municipales,194.3836362239682
44,Aparcamiento mixto. Díaz Porlier,191 - Diego de león,Residentes,194.3836362239682
45,Aparcamiento mixto. Encuentro,220 - Plaza del Encuentro,Disuasorio,100.64297975836168
46,Aparcamiento mixto. Encuentro,220 - Plaza del Encuentro,Publicos Municipales,100.64297975836168
47,Aparcamiento mixto. Encuentro,220 - Plaza del Encuentro,Publicos Municipales,100.64297975836168
48,Aparcamiento mixto. Encuentro,220 - Plaza del Encuentro,Residentes,100.64297975836168
49,Aparcamiento mixto. Felipe II,100 - Palacio de Deportes,Disuasorio,76.91802452196796
50,Aparcamiento mixto. Felipe II,100 - Palacio de Deportes,Publicos Municipales,76.91802452196796
51,Aparcamiento mixto. Felipe II,100 - Palacio de Deportes,Publicos Municipales,76.91802452196796
52,Aparcamiento mixto. Felipe II,100 - Palacio de Deportes,Residentes,76.91802452196796
53,Aparcamiento mixto. Fernández Shaw,77 - Conde de Casal,Disuasorio,131.82730250218097
54,Aparcamiento mixto. Fernández Shaw,77 - Conde de Casal,Publicos Municipales,131.82730250218097
55,Aparcamiento mixto. Fernández Shaw,77 - Conde de Casal,Residentes,131.82730250218097
56,Aparcamiento mixto. Fuencarral,4 - Malasaña,Disuasorio,106.7196861636779
57,Aparcamiento mixto. Fuencarral,4 - Malasaña,Publicos Municipales,106.7196861636779
58,Aparcamiento mixto. Fuencarral,4 - Malasaña,Publicos Municipales,106.7196861636779
59,Aparcamiento mixto. Fuencarral,4 - Malasaña,Residentes,106.7196861636779
60,Aparcamiento mixto. Hernani,204 - Cuatro Caminos 2,Disuasorio,118.47878746490018
61,Aparcamiento mixto. Hernani,204 - Cuatro Caminos 2,Publicos Municipales,118.47878746490018
62,Aparcamiento mixto. Hernani,204 - Cuatro Caminos 2,Publicos Municipales,118.47878746490018
63,Aparcamiento mixto. Hernani,204 - Cuatro Caminos 2,Residentes,118.47878746490018
64,Aparcamiento mixto. Jacinto Benavente,34 - Jacinto Benavente,Disuasorio,48.07651262386473
65,Aparcamiento mixto. Jacinto Benavente,34 - Jacinto Benavente,Publicos Municipales,48.07651262386473
66,Aparcamiento mixto. Jacinto Benavente,34 - Jacinto Benavente,Publicos Municipales,48.07651262386473
67,Aparcamiento mixto. Jacinto Benavente,34 - Jacinto Benavente,Residentes,48.07651262386473
68,Aparcamiento mixto. José Castán Tobeñas,209 - Plaza de Castilla 2,Disuasorio,345.9906523141357
69,Aparcamiento mixto. José Castán Tobeñas,209 - Plaza de Castilla 2,Publicos Municipales,345.9906523141357
70,Aparcamiento mixto. José Castán Tobeñas,209 - Plaza de Castilla 2,Publicos Municipales,345.9906523141357
71,Aparcamiento mixto. José Castán Tobeñas,209 - Plaza de Castilla 2,Residentes,345.9906523141357
72,Aparcamiento mixto. Marqués de Salamanca,186 - General Pardiñas,Disuasorio,188.6823115422825
73,Aparcamiento mixto. Marqués de Salamanca,186 - General Pardiñas,Publicos Municipales,188.6823115422825
74,Aparcamiento mixto. Marqués de Salamanca,186 - General Pardiñas,Publicos Municipales,188.6823115422825
75,Aparcamiento mixto. Marqués de Salamanca,186 - General Pardiñas,Residentes,188.6823115422825
76,Aparcamiento mixto. Miguel Yuste,215 - Gutierre de Cetina,Disuasorio,2128.1924435183987
77,Aparcamiento mixto. Miguel Yuste,215 - Gutierre de Cetina,Publicos Municipales,2128.1924435183987
78,Aparcamiento mixto. Miguel Yuste,215 - Gutierre de Cetina,Publicos Municipales,2128.1924435183987
79,Aparcamiento mixto. Miguel Yuste,215 - Gutierre de Cetina,Residentes,2128.1924435183987
80,Aparcamiento mixto. Montalbán,65 - Antonio Maura,Disuasorio,241.89719765175903
81,Aparcamiento mixto. Montalbán,65 - Antonio Maura,Publicos Municipales,241.89719765175903
82,Aparcamiento mixto. Montalbán,65 - Antonio Maura,Publicos Municipales,241.89719765175903
83,Aparcamiento mixto. Montalbán,65 - Antonio Maura,Residentes,241.89719765175903
84,Aparcamiento mixto. Orense,206 - Metro Tetuán,Disuasorio,327.89920866899485
85,Aparcamiento mixto. Orense,206 - Metro Tetuán,Publicos Municipales,327.89920866899485
86,Aparcamiento mixto. Orense,206 - Metro Tetuán,Publicos Municipales,327.89920866899485
87,Aparcamiento mixto. Orense,206 - Metro Tetuán,Residentes,327.89920866899485
88,Aparcamiento mixto. Pedro Zerolo 'antes denominado Vázquez de Mella',18 - Plaza de Pedro Zerolo,Disuasorio,34.251344331048735
89,Aparcamiento mixto. Pedro Zerolo 'antes denominado Vázquez de Mella',18 - Plaza de Pedro Zerolo,Publicos Municipales,34.251344331048735
90,Aparcamiento mixto. Pedro Zerolo 'antes denominado Vázquez de Mella',18 - Plaza de Pedro Zerolo,Publicos Municipales,34.251344331048735
91,Aparcamiento mixto. Pedro Zerolo 'antes denominado Vázquez de Mella',18 - Plaza de Pedro Zerolo,Residentes,34.251344331048735
92,Aparcamiento mixto. Plaza de Oriente,36 - Plaza Ramales,Disuasorio,95.04977562880008
93,Aparcamiento mixto. Plaza de Oriente,36 - Plaza Ramales,Publicos Municipales,95.04977562880008
94,Aparcamiento mixto. Plaza de Oriente,36 - Plaza Ramales,Publicos Municipales,95.04977562880008
95,Aparcamiento mixto. Plaza de Oriente,36 - Plaza Ramales,Residentes,95.04977562880008
96,Aparcamiento mixto. Plaza de Santo Domingo (cerrado),23 - Santo Domingo,Disuasorio,48.59809886755003
97,Aparcamiento mixto. Plaza de Santo Domingo (cerrado),23 - Santo Domingo,Publicos Municipales,48.59809886755003
98,Aparcamiento mixto. Plaza de Santo Domingo (cerrado),23 - Santo Domingo,Publicos Municipales,48.59809886755003
99,Aparcamiento mixto. Plaza de Santo Domingo (cerrado),23 - Santo Domingo,Residentes,48.59809886755003
100,Aparcamiento mixto. Plaza Mayor,31 - Calle Mayor,Disuasorio,55.101082238713744
101,Aparcamiento mixto. Plaza Mayor,31 - Calle Mayor,Publicos Municipales,55.101082238713744
102,Aparcamiento mixto. Plaza Mayor,31 - Calle Mayor,Publicos Municipales,55.101082238713744
103,Aparcamiento mixto. Plaza Mayor,31 - Calle Mayor,Residentes,55.101082238713744
104,Aparcamiento mixto. Presidente Carmona,152 - General Perón 1,Disuasorio,193.9562837491299
105,Aparcamiento mixto. Presidente Carmona,152 - General Perón 1,Publicos Municipales,193.9562837491299
106,Aparcamiento mixto. Presidente Carmona,152 - General Perón 1,Publicos Municipales,193.9562837491299
107,Aparcamiento mixto. Presidente Carmona,152 - General Perón 1,Residentes,193.9562837491299
108,Aparcamiento mixto. Recoletos (cerrado),86 - Cibeles,Disuasorio,260.68078049684163
109,Aparcamiento mixto. Recoletos (cerrado),86 - Cibeles,Publicos Municipales,260.68078049684163
