;PK;NOMBRE;BARRIO;DISTRITO;LATITUD;LONGITUD;Place address
0;13470;Aparcamiento mixto. Arquitecto Ribera;JUSTICIA;CENTRO;40.42668789975573;-3.699617370122249;CALLE BARCELO, 2
1;59060;Aparcamiento mixto. Avenida de América (intercambiador);PROSPERIDAD;CHAMARTIN;40.43886083125741;-3.676621738374336;CALLE PRADENA DEL RINCON, 4
2;5898885;Aparcamiento mixto. Avenida de Portugal;PUERTA DEL ANGEL;LATINA;40.411180021966345;-3.737831885746316;AVENIDA PORTUGAL, 155
3;13475;Aparcamiento mixto. Brasil;CUATRO CAMINOS;TETUAN;40.45610834965894;-3.694131675088486;CALLE GENERAL YAGUE, 11
4;183747;Aparcamiento mixto. Casino de la Reina;EMBAJADORES;CENTRO;40.406792648617134;-3.7046086019457167;CALLE CASINO, 3
5;13477;Aparcamiento mixto. Condesa de Gavia;CUATRO CAMINOS;TETUAN;40.44938567948415;-3.7019164121880888;PLAZA CONDESA DE GAVIA, 0
6;183748;Aparcamiento mixto. Daoíz y Velarde;PACIFICO;RETIRO;40.40532154127827;-3.683544138638221;AVENIDA CIUDAD DE BARCELONA, 3
7;44724;Aparcamiento mixto. Díaz Porlier;LISTA;SALAMANCA;40.43441560100639;-3.675728293375598;CALLE DIEGO DE LEON, 62
8;36269;Aparcamiento mixto. Encuentro;MEDIA LEGUA;MORATALAZ;40.40581270738191;-3.652048809515808;PLAZA ENCUENTRO, 1
9;13464;Aparcamiento mixto. Felipe II;GOYA;SALAMANCA;40.42422175692137;-3.673433652213169;CALLE ANTONIA MERCE, 5
10;13462;Aparcamiento mixto. Fuencarral;TRAFALGAR;CHAMBERI;40.42948845687032;-3.702794102717799;CALLE FUENCARRAL, 111
11;36270;Aparcamiento mixto. Hernani;CUATRO CAMINOS;TETUAN;40.448394729978006;-3.7033919552673127;CALLE HERNANI, 60
12;13459;Aparcamiento mixto. Jacinto Benavente;CORTES;CENTRO;40.41444016371457;-3.70332112917586;PLAZA JACINTO BENAVENTE, 6
13;13479;Aparcamiento mixto. José Castán Tobeñas;CASTILLEJOS;TETUAN;40.46451060463543;-3.6916467875121377;CALLE CAPITAN HAYA, 57
